,_,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
0,0.0014278675327559405,0.0011016960914945592,0.0033311125916055963,0.004337386186986454,0.0014608316677770376,0.004198589829002887,0.0007599100599600267,0.0007148012436153675,0.0037232123029091718,1.5614590273151233e-05,0.0,0.004117046968687542,0.0013376499000666221,0.007838524317121918,0.007678908505440818,0.0038116949811236953,0.006323909060626249,0.006636200866089274,0.007864548634243837,0.0037110676215856096,0.0017193398845214301,0.00027759271596713303,0.0009247307350655118,5.204863424383744e-06,0.0033536669997779258,0.00019084499222740396,1.7349544747945814e-06,0.0,0.0,0.0,0.002151343548745281,0.0,0.005296816011547857
1,0.00642280146568954,0.0,0.001044442593826338,0.0005690650677326227,0.00017176049300466356,0.0008084887852542749,0.0010791416833222296,0.00046843770819453696,0.0010843465467466134,0.0,1.7349544747945814e-06,0.0020992949145014436,0.001467771485676216,0.0010947562735953808,0.0020906201421274704,8.674772373972906e-05,0.00026718298911836553,0.0008327781479013991,0.001981318010215412,0.003726682211858761,0.0,1.7349544747945814e-06,0.0005256912058627582,8.848267821452366e-05,0.0006228486564512547,0.0003539307128580946,0.0001769653564290473,0.0,0.0,0.0,0.0,0.0016013629802353985,0.0010513824117255163
2,0.00017176049300466356,9.195258716411281e-05,1.7349544747945814e-06,0.0,0.0,8.501276926493449e-05,0.00037995502998001333,0.0,0.0,1.7349544747945814e-06,0.0,0.0,0.0005291611148123473,0.0,0.00017523040195425272,0.0011762991339107263,0.0,0.0005465106595602932,0.0,8.674772373972906e-05,0.00045282311792138575,0.0,1.7349544747945814e-06,0.0,0.0,5.204863424383744e-06,0.00027759271596713303,0.0,0.0015024705751721075,5.204863424383744e-06,0.0,0.0,0.0007390906062624917
3,0.003105568509882301,0.0023265739506995336,0.0,0.00025677326226959804,8.501276926493449e-05,9.368754163890739e-05,0.0009160559626915389,0.0,9.542249611370198e-05,6.939817899178326e-06,0.0,9.195258716411281e-05,0.0007009216078170109,1.7349544747945814e-06,0.0002689179435931601,0.004009479791250278,0.0,0.00017176049300466356,0.001943149011769931,0.00045629302687097493,0.00047017266266933156,0.0,0.0,1.7349544747945814e-06,0.0,5.204863424383744e-06,8.674772373972906e-05,0.0,0.0009854541416833222,8.848267821452366e-05,0.0,0.0,0.00045108816344659116
4,0.00044588330002220744,0.0006436681101487897,0.0,0.0,0.0,0.0007286808794137241,0.00018043526537863647,0.0,8.848267821452366e-05,1.7349544747945814e-06,0.0,9.021763268931823e-05,0.0007252109704641351,8.501276926493449e-05,8.674772373972906e-05,0.0038880329780146567,0.0,0.0002966772151898734,0.0,0.0,0.00044241339107261825,0.0,0.00026544803464357094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.939817899178326e-06
5,0.00044588330002220744,0.0022467660448589827,0.0,0.00045108816344659116,0.0,0.0001769653564290473,0.001566663890739507,0.0,0.0,6.939817899178326e-06,0.0,0.00018217021985343103,0.0009889240506329115,0.00025850821674439263,0.0008171635576282478,0.0011537447257383966,1.7349544747945814e-06,0.0005603902953586498,9.021763268931823e-05,0.00035046080390850544,0.0008015489673550967,0.0,0.0,9.542249611370198e-05,8.848267821452366e-05,8.501276926493449e-05,0.0,0.0,0.00019778481012658228,9.195258716411281e-05,0.0,0.0,0.0005152814790139907
6,0.008926340772818122,1.7349544747945814e-06,0.0009056462358427715,0.00010583222296246946,0.0005655951587830335,0.0012422274039529202,0.0007200061070397512,0.00034872584943371085,0.00044414834554741284,0.0,0.0016759660226515656,0.0006454030646235843,0.0018702809238285588,0.001728014656895403,0.0051805740617366204,9.889240506329114e-05,9.715745058849656e-05,0.001910184876748834,0.0015302298467688208,0.003195786142571619,8.674772373972906e-05,0.0,9.542249611370198e-05,5.204863424383744e-06,0.00025850821674439263,0.00028626748834110593,0.0002689179435931601,0.0,0.0,0.0,0.0,0.00026371308016877635,6.939817899178326e-06
7,5.204863424383744e-06,0.00018390517432822562,0.0,0.00027759271596713303,0.0,0.0005378358871863202,0.0010704669109482567,0.0,0.0005308960692871419,1.0409726848767489e-05,0.0,1.7349544747945814e-06,1.7349544747945814e-06,0.0,0.0006454030646235843,0.0,0.0,0.0,0.0,1.7349544747945814e-06,0.0002689179435931601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469908949589163e-06,0.0,0.0,0.0
8,0.00029320730624028424,0.0008466577836997557,8.674772373972906e-05,0.0002689179435931601,0.00027759271596713303,0.00017176049300466356,0.00018043526537863647,1.7349544747945814e-06,1.7349544747945814e-06,0.0,0.0,6.939817899178326e-06,8.674772373972906e-05,0.0006974516988674217,0.0019899927825893847,0.00034872584943371085,0.0,0.00017176049300466356,9.889240506329114e-05,8.674772373972906e-05,0.0007182711525649567,0.0,0.0,1.7349544747945814e-06,0.0,0.0,0.0,0.0,0.0033467271818787476,0.00027412280701754384,0.0,0.0,0.00025677326226959804
9,5.031367976904286e-05,1.7349544747945814e-06,0.0,8.674772373972907e-06,1.7349544747945814e-06,1.7349544747945814e-06,5.204863424383744e-06,0.0,1.7349544747945814e-06,0.0,3.469908949589163e-06,8.674772373972907e-06,1.7349544747945814e-05,3.469908949589163e-06,1.214468132356207e-05,0.0,1.7349544747945814e-06,3.469908949589163e-06,5.204863424383744e-06,5.204863424383744e-06,0.0,0.0,3.469908949589163e-06,3.469908949589163e-06,5.204863424383744e-06,1.7349544747945814e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.469908949589163e-06
10,0.006054991117033089,0.0,0.0,1.7349544747945814e-06,0.0,0.0,0.0,0.0,5.204863424383744e-06,0.0,0.0,0.0,0.0,8.501276926493449e-05,8.674772373972906e-05,5.204863424383744e-06,0.0,0.0,0.0005361009327115256,9.021763268931823e-05,0.0,0.0,0.0,0.0,1.7349544747945814e-06,0.00017176049300466356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0030778092382855874,0.0023612730401954252,0.0,1.7349544747945814e-06,0.0,0.0,0.0005708000222074173,0.0,0.0,6.939817899178326e-06,0.0025798773040195426,0.0,0.00019084499222740396,0.00026544803464357094,0.0002689179435931601,0.0049602348434377086,0.0,0.0006349933377748168,6.939817899178326e-06,0.00026371308016877635,0.0011624194981123695,0.0,9.368754163890739e-05,9.368754163890739e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.021763268931823e-05
12,0.0012214079502553853,0.0010201532311792138,0.0,5.204863424383744e-06,0.00017523040195425272,0.0,0.0014538918498778592,8.674772373972907e-06,0.00017349544747945813,3.469908949589163e-06,0.00036260548523206753,5.204863424383744e-06,0.0,0.0,0.0002602431712191872,0.0015649289362647124,0.0,0.0,9.542249611370198e-05,0.00017349544747945813,0.00044414834554741284,0.0,0.0,0.0,9.021763268931823e-05,5.204863424383744e-06,0.0,0.0,0.00018390517432822562,0.002585082167443926,0.0,0.0012578419942260715,0.0013255052187430602
13,0.004939415389740173,0.0012769264934488118,0.0,0.0,1.7349544747945814e-06,1.7349544747945814e-06,0.002304019542527204,0.0,0.0,1.9084499222740396e-05,0.0,1.7349544747945814e-06,0.00017523040195425272,0.0,0.0016430018876304685,0.0032721241394625803,0.0,0.00035740062180768375,5.204863424383744e-06,9.542249611370198e-05,0.0009091161447923607,0.0,8.501276926493449e-05,0.0,0.0,0.0,0.0,0.0,0.0009837191872085276,0.00018911003775260937,0.0,0.0,0.0001769653564290473
14,0.0014417471685542972,0.00567677104152787,0.0,0.0,0.000713066289140573,0.0,0.006565067732622696,5.204863424383744e-06,5.204863424383744e-06,8.674772373972907e-06,0.00034352098600932713,0.00027759271596713303,0.0,0.00045282311792138575,0.0011572146346879857,0.004715606262491672,0.0,0.00019778481012658228,0.00017349544747945813,0.0007234760159893404,0.00020298967355096602,8.501276926493449e-05,1.7349544747945814e-06,0.00027238785254274925,9.021763268931823e-05,0.0,0.0,0.0,0.0011121058183433266,0.001256107039751277,0.0,8.501276926493449e-05,0.002075005551854319
15,0.010361148123473241,0.0,0.0024965994892294026,0.002638865756162558,0.003941816566733289,0.00201081223628692,0.0016915806129247169,0.001500735620697313,0.0005586553408838552,3.469908949589163e-06,0.0025920219853431048,0.0005274261603375527,0.0025607928047968022,0.0036815733955141016,0.001259576948700866,9.542249611370198e-05,0.00018737508327781478,0.003166291916500111,0.003738826893182323,0.003034435376415723,0.0,8.501276926493449e-05,0.00036607539418165666,8.674772373972906e-05,0.0015406395736175882,0.00037648512103042415,8.848267821452366e-05,0.0,0.0,0.0,0.0002602431712191872,8.674772373972906e-05,0.0008987064179435931
16,0.0,9.715745058849656e-05,0.0,0.0,0.0,0.0,0.0012422274039529202,0.0,0.0,3.469908949589163e-06,0.0,0.0,8.848267821452366e-05,0.0,8.501276926493449e-05,0.0037943454363757495,8.848267821452366e-05,0.0021235842771485675,0.0002689179435931601,0.0,0.00010583222296246946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001769653564290473,0.0,0.0,0.0,9.195258716411281e-05
17,0.0006228486564512547,0.004762450033311126,0.0,0.00044588330002220744,0.00026544803464357094,0.00017176049300466356,0.0024775149900066623,0.00010409726848767489,0.0,6.939817899178326e-06,1.7349544747945814e-06,0.00017870031090384188,0.00017002553852986897,1.7349544747945814e-06,0.00044935320897179656,0.003955696202531646,8.501276926493449e-05,0.0,1.7349544747945814e-06,0.00046149789029535865,0.006587622140795025,0.0,3.469908949589163e-06,0.0,1.7349544747945814e-06,9.021763268931823e-05,0.0,0.0,0.0009021763268931823,0.00017002553852986897,0.0,8.848267821452366e-05,0.0008969714634687986
18,0.001557989118365534,0.00046496779924494783,0.0,0.001596158116811015,0.0,3.469908949589163e-06,0.0014903258938485453,0.0,0.0,3.469908949589163e-06,8.501276926493449e-05,0.005376623917388408,0.0012751915389740173,0.00044588330002220744,0.00028279757939151675,0.0006592827004219409,0.0006211137019764601,3.469908949589163e-06,0.005189248834110593,0.004876957028647568,0.00018911003775260937,0.0,1.7349544747945814e-06,0.0,8.674772373972906e-05,0.0003452559404841217,0.0,0.0,5.204863424383744e-06,0.0009802492782589386,0.0,0.00017176049300466356,0.001981318010215412
19,0.004129191650011104,0.002055921052631579,0.0,0.001160684543637575,0.00017349544747945813,1.7349544747945814e-06,0.0021652231845436377,3.469908949589163e-06,0.0,1.0409726848767489e-05,0.0,0.00018043526537863647,9.368754163890739e-05,0.0,9.542249611370198e-05,0.007586955918276704,0.0,0.001509410393071286,0.000990659005107706,0.00025677326226959804,0.0011537447257383966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038689484787919165,0.005900580168776371,0.0,0.0,0.00026718298911836553
