,_,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
10,0.0,0.0,2.094512795378667e-06,1.2567076772272001e-05,2.094512795378667e-06,2.094512795378667e-06,4.189025590757334e-06,0.0,0.0,6.283538386136001e-06,0.0,4.189025590757334e-06,4.189025590757334e-06,1.6756102363029335e-05,4.189025590757334e-06,4.189025590757334e-06,0.0,0.0,2.094512795378667e-06,1.2567076772272001e-05,1.0472563976893334e-05,0.0,0.0,2.094512795378667e-06,0.0,2.094512795378667e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.094512795378667e-06,6.283538386136001e-06
11,0.0,0.0,0.0,5.0268307089088005e-05,0.0,0.0,0.0,0.0,0.0,5.864635827060267e-05,0.0,0.0,2.094512795378667e-06,0.0,5.445733267984534e-05,5.445733267984534e-05,5.445733267984534e-05,0.0,0.0,0.000590652608296784,0.00011100917815506934,0.0,0.0,0.0,0.0,5.445733267984534e-05,0.00015499394685802135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0031899429873617096,0.0,6.283538386136001e-06,0.0,0.0,0.0009844210138279736,0.0,0.0,0.0,1.2567076772272001e-05,0.002760567864309083,0.0,0.0003246494832836934,0.00037282327757740273,0.0003309330216698294,0.006155773105617902,0.0,0.0010095551673725174,0.0,0.00037282327757740273,0.0012148174213196267,0.0,0.00021364030512862402,0.00011310369095044801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011310369095044801
13,0.0,0.0016358144931907389,0.0,5.864635827060267e-05,0.00015918297244877868,0.0,0.0020526225394710937,0.0,5.864635827060267e-05,0.00011100917815506934,1.6756102363029335e-05,0.000490115994118608,5.0268307089088005e-05,2.094512795378667e-06,0.0,0.0002660031250130907,0.0020735676674248802,0.0,0.0,0.00012148174213196268,0.00021364030512862402,0.0005382897884123174,2.094512795378667e-06,0.0,0.0,0.00010891466535969068,5.864635827060267e-05,0.0,0.0,0.00021782933071938136,0.0028213087353750645,0.0,0.0015666955709432429,0.0015729791093293788
14,0.0,0.0017133114666197495,0.0,0.0,5.445733267984534e-05,5.0268307089088005e-05,0.0026767873524939363,0.0,0.0,4.189025590757334e-06,1.8850615158408002e-05,0.0,5.236281988446667e-05,0.00015499394685802135,4.189025590757334e-06,0.0023374762796425923,0.004813190403780177,0.0,0.0004314696358480054,5.864635827060267e-05,0.00015918297244877868,0.001151982037458267,0.0,5.0268307089088005e-05,0.0,0.0,0.0,0.0,0.0,0.0010891466535969069,0.0003225549704883147,0.0,0.0,0.00021364030512862402
15,0.0,0.006876285507228163,0.0,0.0,0.0008042929134254081,0.0,0.006076181619393513,0.0,5.864635827060267e-05,5.864635827060267e-05,1.0472563976893334e-05,0.0002220183563101387,0.00043356414864338406,0.0,0.0011394149606859948,0.0011875887549797042,0.005202769783720609,0.0,0.0004314696358480054,0.00010891466535969068,0.0007707807086993494,0.0005885580955014054,5.445733267984534e-05,5.0268307089088005e-05,0.00023039640749165336,0.00015499394685802135,0.0,0.0,0.0,0.0015394669046033202,0.001453591879992795,0.0,5.445733267984534e-05,0.0028904276576225602
16,0.0,2.094512795378667e-06,0.002559494635952731,0.003711476673410998,0.004461312254156561,0.0027312446851737817,0.0013572442914053762,0.0,0.0014787260335373388,0.0012671802412040935,6.283538386136001e-06,0.0026621257629262855,0.0006576770177489015,0.002553211097566595,0.003973290772833331,0.0015331833662171842,0.0002094512795378667,0.00042309158466649074,0.0041157176429190805,0.004235104872255664,0.0030391380660944457,0.0,5.445733267984534e-05,0.0006346373769997361,0.00010472563976893334,0.0018452657727286055,0.00044822573821103474,0.00010682015256431201,0.0,0.0,0.0,0.00021364030512862402,0.00010472563976893334,0.0008817898868544188
17,0.0,0.00022411286910551737,0.0,0.0,0.0,0.0,0.0013488662402238616,0.0,0.0,0.0,4.189025590757334e-06,0.0,0.0,5.6551845475224006e-05,0.0,5.445733267984534e-05,0.0049409556842982755,5.445733267984534e-05,0.0020589060778572294,0.0002722866633992267,0.0,0.0002785702017853627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016127748524415736,0.0,0.0,0.0,0.00010682015256431201
18,0.0,0.005146217938245385,0.0,0.0003874848671450534,0.00027647568898998403,0.00016127748524415736,0.0028338758121473364,0.0,0.000270192150603848,0.0,1.2567076772272001e-05,5.0268307089088005e-05,0.00011729271654120535,0.00010891466535969068,5.0268307089088005e-05,0.0005990306594782988,0.004926294094730625,5.445733267984534e-05,0.0,0.0,0.0006534879921581441,0.007328700271029956,0.0,5.6551845475224006e-05,0.0,2.094512795378667e-06,5.445733267984534e-05,0.0,0.0,0.0012462351132503068,0.00010891466535969068,0.0,5.864635827060267e-05,0.0008796953740590401
19,0.0,0.0006534879921581441,2.094512795378667e-06,0.0015708845965340002,0.0,5.0268307089088005e-05,0.0020170158219496564,0.0,0.0,0.0,6.283538386136001e-06,5.445733267984534e-05,0.006289821924522137,0.0017531072097319443,0.0005822745571152694,0.0003853903543496747,0.0012504241388410643,0.0006492989665673868,5.445733267984534e-05,0.006168340182390175,0.006631227510168859,0.0003707287647820241,0.0,5.445733267984534e-05,0.0,5.0268307089088005e-05,0.00021154579233324537,0.0,5.445733267984534e-05,0.00016127748524415736,0.0010619179872569842,0.0,0.00015080492126726402,0.002301869562121155
